Price,House_Type,Area,Bedrooms,Bathrooms,Receptions,Location,County,Central_London_Flag,Area_Classifier
600000,Flat / Apartment,780,2,2,2,Camden,London,No,small
545000,New development,767,2,2,2,East Molesey,Surrey,No,small
1385000,Flat / Apartment,990,3,3,3,Kensington and Chelsea,London,No,small
375000,Flat / Apartment,525,1,1,1,Wandsworth,London,No,small
495000,Flat / Apartment,815,2,2,2,Wandsworth,London,No,small
775000,Flat / Apartment,665,2,2,2,Camden,London,No,small
775000,New development,983,3,3,3,Ealing,London,No,small
625000,Flat / Apartment,676,1,1,1,Kensington and Chelsea,London,No,small
525000,House,540,1,1,1,Southwark,London,No,small
849999,Flat / Apartment,802,2,2,2,Islington,London,Yes,small
525000,New development,581,1,1,1,Hounslow,London,No,small
635000,Flat / Apartment,936,2,2,2,Merton,London,No,small
450000,Flat / Apartment,646,1,1,1,Richmond Upon Thames,London,No,small
1325000,Flat / Apartment,779,2,2,2,Westminster,London,Yes,small
430000,New development,538,1,1,1,Islington,London,No,small
795000,New development,989,3,3,3,Ealing,London,No,small
1150000,Flat / Apartment,911,2,2,2,Kensington and Chelsea,London,No,small
1250000,Flat / Apartment,960,2,2,2,Westminster,London,No,small
560000,Flat / Apartment,468,1,1,1,Westminster,London,No,small
730000,Flat / Apartment,833,2,2,2,Wandsworth,London,No,small
500000,Flat / Apartment,794,2,2,2,Islington,London,No,small
575000,Flat / Apartment,741,2,2,2,Islington,London,No,small
449950,Flat / Apartment,759,3,3,3,Islington,London,No,small
500000,Flat / Apartment,492,1,1,1,Islington,London,No,small
629000,Flat / Apartment,640,2,2,2,Islington,London,No,small
499950,Flat / Apartment,690,2,2,2,Barnet,London,No,small
1450000,Flat / Apartment,963,2,2,2,Kensington and Chelsea,London,No,small
730000,New development,665,2,2,2,Wandsworth,London,No,small
575000,New development,558,1,1,1,Hounslow,London,No,small
485000,Flat / Apartment,786,3,3,3,Richmond Upon Thames,London,No,small
350000,New development,678,1,1,1,Waltham Forest,London,No,small
500000,Flat / Apartment,564,2,2,2,Hammersmith and Fulham,London,No,small
799950,Penthouse,842,2,2,2,Tower Hamlets,London,No,small
900000,House,836,2,2,2,Richmond,Surrey,No,small
995000,Flat / Apartment,836,2,2,2,Westminster,London,Yes,small
599995,Flat / Apartment,926,2,2,2,Islington,London,No,small
435000,Flat / Apartment,439,1,1,1,Islington,London,No,small
565000,Flat / Apartment,793,2,2,2,Hackney,London,No,small
500000,New development,808,2,2,2,Northwood,Middlesex,No,small
650000,Flat / Apartment,877,2,2,2,Lambeth,London,No,small
490000,New development,695,2,2,2,Tower Hamlets,London,No,small
765000,New development,858,2,2,2,Brentford,Middlesex,No,small
699950,New development,756,2,2,2,Richmond Upon Thames,London,No,small
899950,House,922,3,3,3,Wandsworth,London,No,small
535000,Flat / Apartment,729,2,2,2,Wandsworth,London,No,small
550000,Flat / Apartment,849,2,2,2,Wandsworth,London,No,small
835000,Flat / Apartment,875,2,2,2,Camden,London,No,small
572900,New development,721,2,2,2,Islington,London,No,small
432500,New development,538,1,1,1,Islington,London,No,small
620000,New development,930,2,2,2,Hackney,London,No,small
580000,New development,832,2,2,2,Hackney,London,No,small
590000,New development,840,2,2,2,Hackney,London,No,small
599950,New development,724,2,2,2,Hackney,London,No,small
630000,New development,904,2,2,2,Ealing,London,No,small
650000,New development,776,2,2,2,Ealing,London,No,small
512500,New development,858,2,2,2,Newham,London,No,small
599950,Flat / Apartment,506,1,1,1,Islington,London,Yes,small
650000,Flat / Apartment,531,1,1,1,Islington,London,Yes,small
950000,Flat / Apartment,939,1,1,1,Islington,London,Yes,small
575000,Flat / Apartment,983,2,2,2,Wandsworth,London,No,small
635000,Flat / Apartment,942,2,2,2,Wandsworth,London,No,small
475000,Flat / Apartment,637,2,2,2,Lambeth,London,No,small
425000,Flat / Apartment,620,1,1,1,Wandsworth,London,No,small
385000,House,800,2,2,2,Lambeth,London,No,small
395000,Flat / Apartment,771,1,1,1,Lambeth,London,No,small
525000,Flat / Apartment,771,2,2,2,Wandsworth,London,No,small
780000,New development,798,2,2,2,Wandsworth,London,No,small
550000,New development,581,1,1,1,Hounslow,London,No,small
625000,Flat / Apartment,613,2,2,2,Wandsworth,London,No,small
999950,Flat / Apartment,840,2,2,2,Islington,London,No,small
550000,Flat / Apartment,399,1,1,1,Islington,London,No,small
700000,Flat / Apartment,693,2,2,2,Hammersmith and Fulham,London,No,small
535000,House,900,3,3,3,Epping,Essex,No,small
775000,New development,870,2,2,2,Camden,London,No,small
650000,Flat / Apartment,884,2,2,2,Lambeth,London,No,small
700000,Flat / Apartment,807,2,2,2,Wandsworth,London,No,small
599950,New development,883,2,2,2,Merton,London,No,small
650000,Flat / Apartment,976,2,2,2,Merton,London,No,small
600000,Flat / Apartment,692,2,2,2,Wandsworth,London,No,small
995000,Flat / Apartment,812,2,2,2,Westminster,London,No,small
450000,Flat / Apartment,533,1,1,1,Wandsworth,London,No,small
575000,New development,784,2,2,2,Islington,London,No,small
399950,Flat / Apartment,398,1,1,1,Ealing,London,No,small
675000,Flat / Apartment,970,2,2,2,Tower Hamlets,London,No,small
900000,New development,901,2,2,2,Wandsworth,London,No,small
699950,Flat / Apartment,645,1,1,1,Kensington and Chelsea,London,No,small
750000,Flat / Apartment,815,2,2,2,Merton,London,No,small
655000,Flat / Apartment,761,2,2,2,Wandsworth,London,No,small
675000,Flat / Apartment,757,2,2,2,Hackney,London,No,small
625000,Flat / Apartment,946,2,2,2,Wandsworth,London,No,small
795000,Flat / Apartment,666,2,2,2,Westminster,London,No,small
830000,Flat / Apartment,813,2,2,2,Hackney,London,No,small
495000,Flat / Apartment,758,3,3,3,Islington,London,No,small
699950,Flat / Apartment,935,3,3,3,Hammersmith and Fulham,London,No,small
